AIRLINE,AIRLINE_CODE,ORIGIN,DEST,TAXI_OUT,TAXI_IN,CANCELLED,CANCELLATION_CODE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
Spirit Air Lines,NK,MYR,LGA,21.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,ORD,BDL,13.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,BOS,SEA,14.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,BNA,DFW,10.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MSP,BOS,9.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,BOS,CLT,26.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,BOS,ATL,14.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,IAH,LAS,13.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,LGA,15.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,DEN,MSP,46.0,4.0,0.0,,0.0,0.0,15.0,0.0,0.0
ExpressJet Airlines LLC d/b/a aha!,EV,EWR,CAK,28.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DEN,RDM,25.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,PIA,DFW,9.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,TPA,HOU,9.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SEA,SJC,25.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,SLC,BOS,13.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,CLE,DEN,5.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ALB,ATL,21.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,FLL,HOU,13.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,PSP,ORD,13.0,17.0,0.0,,6.0,0.0,0.0,0.0,35.0
Southwest Airlines Co.,WN,MDW,ROC,8.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,BWI,DFW,23.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DTW,DEN,13.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,SRQ,IAD,15.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,RNO,DEN,8.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MDW,CLT,14.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,PIT,ORD,13.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DAL,IAH,8.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MDW,STL,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,MYR,LBE,11.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,SYR,DTW,15.0,8.0,0.0,,0.0,50.0,0.0,0.0,286.0
Delta Air Lines Inc.,DL,ATL,STT,21.0,9.0,0.0,,16.0,0.0,15.0,0.0,0.0
Spirit Air Lines,NK,LAS,SMF,32.0,7.0,0.0,,0.0,0.0,29.0,0.0,0.0
United Air Lines Inc.,UA,DEN,SDF,25.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DEN,DSM,10.0,5.0,0.0,,15.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,DFW,MOB,55.0,3.0,0.0,,0.0,0.0,26.0,0.0,3.0
United Air Lines Inc.,UA,LAX,LAS,29.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,LAX,LAS,10.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,LGA,IAH,25.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,IAH,PHX,19.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,ELM,DTW,22.0,6.0,0.0,,0.0,107.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,DFW,OKC,24.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,MSO,DEN,14.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,CLT,PVD,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Hawaiian Airlines Inc.,HA,LIH,OGG,6.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,DCA,BDL,43.0,4.0,0.0,,0.0,0.0,29.0,0.0,0.0
United Air Lines Inc.,UA,IAH,FLL,18.0,15.0,0.0,,0.0,0.0,10.0,0.0,7.0
Delta Air Lines Inc.,DL,HNL,DTW,14.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,ORD,ASE,12.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,ORD,CMI,16.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MKE,DAL,12.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SLC,IAH,14.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DAL,MCO,11.0,11.0,0.0,,133.0,0.0,0.0,0.0,11.0
American Airlines Inc.,AA,FLL,PHL,14.0,19.0,0.0,,1.0,0.0,0.0,0.0,76.0
Republic Airline,YX,RDU,MIA,22.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,SAN,SJC,12.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
ExpressJet Airlines LLC d/b/a aha!,EV,PNS,ORD,12.0,21.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MDW,MHT,8.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,FLL,CVG,13.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,ISP,PBI,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,DFW,SAN,21.0,9.0,0.0,,14.0,0.0,19.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,SAV,14.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,DEN,BWI,13.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,MIA,LGA,20.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,ORF,DTW,12.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BNA,PHX,11.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,BTR,ATL,10.0,5.0,0.0,,0.0,0.0,0.0,0.0,54.0
JetBlue Airways,B6,LGB,OAK,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,ORF,DTW,9.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,CAE,ATL,36.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,STL,PHL,10.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,EWR,IAD,15.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DEN,SEA,11.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,BHM,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,FLL,BUF,14.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,TTN,FLL,19.0,7.0,0.0,,0.0,0.0,5.0,0.0,43.0
Envoy Air,MQ,DFW,MDT,21.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Horizon Air,QX,SEA,HLN,16.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,CLL,DFW,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,BNA,ATL,10.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Hawaiian Airlines Inc.,HA,HNL,LIH,20.0,7.0,0.0,,47.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,BOS,RSW,14.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DEN,OKC,7.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,DAL,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,IAD,ATL,12.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,DCA,SRQ,13.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,ABQ,LAX,23.0,23.0,0.0,,12.0,0.0,19.0,0.0,0.0
Envoy Air,MQ,ORD,BMI,10.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,ATL,IAD,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,IAD,MSP,11.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SAN,LAX,19.0,8.0,0.0,,19.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,SJC,27.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,OMA,PHX,14.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,MCO,LGA,15.0,6.0,0.0,,0.0,44.0,0.0,0.0,23.0
Southwest Airlines Co.,WN,MCO,FLL,9.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,MCI,MCO,10.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,COS,LAX,17.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,RST,MSP,17.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MIA,ATL,13.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Allegiant Air,G4,DAY,PGD,6.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,MSY,ORD,14.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,ORD,AUS,20.0,4.0,0.0,,0.0,0.0,21.0,0.0,0.0
American Airlines Inc.,AA,SFO,JFK,26.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,IAD,EWR,59.0,9.0,0.0,,0.0,0.0,76.0,0.0,0.0
United Air Lines Inc.,UA,IAH,TPA,16.0,4.0,0.0,,0.0,0.0,0.0,0.0,25.0
Frontier Airlines Inc.,F9,TPA,PHL,10.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Horizon Air,QX,RDM,SEA,9.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,ABQ,DFW,15.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,LGA,BOS,15.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,CMI,ORD,7.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,MDW,GRR,13.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,BNA,CLE,14.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,ANC,PDX,15.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,MSP,STL,24.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,CLT,BNA,13.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DCA,STL,21.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,LSE,ORD,5.0,23.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,HPN,MCO,12.0,11.0,0.0,,5.0,0.0,0.0,0.0,28.0
American Airlines Inc.,AA,DFW,LAX,17.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,ORD,CLE,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,SAN,SFO,23.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,MIA,CLT,15.0,14.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,BOI,SAN,16.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,DFW,SEA,15.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DAL,SJC,10.0,2.0,0.0,,25.0,0.0,7.0,0.0,0.0
Southwest Airlines Co.,WN,SMF,BUR,11.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,SJU,EWR,10.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,PHX,CLE,12.0,13.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,PHL,MCO,21.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,HDN,EWR,15.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,DCA,PVD,15.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,MHT,DCA,18.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,JFK,BOS,26.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,OKC,DEN,13.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,JFK,SJU,16.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Republic Airline,YX,LGA,IND,16.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,DFW,LAS,52.0,8.0,0.0,,3.0,0.0,40.0,0.0,0.0
Mesa Airlines Inc.,YV,DFW,TYS,12.0,3.0,0.0,,44.0,0.0,19.0,0.0,138.0
Southwest Airlines Co.,WN,BWI,MDW,12.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SFO,RNO,19.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,RSW,CLT,11.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
Delta Air Lines Inc.,DL,BHM,ATL,9.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,HPN,DCA,68.0,6.0,0.0,,0.0,0.0,62.0,0.0,9.0
Southwest Airlines Co.,WN,ATL,MCI,9.0,4.0,0.0,,30.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,MCO,MKE,65.0,4.0,0.0,,0.0,0.0,25.0,0.0,0.0
Spirit Air Lines,NK,LAX,MCI,56.0,2.0,0.0,,0.0,0.0,31.0,0.0,0.0
Frontier Airlines Inc.,F9,PHL,TPA,16.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,IAH,AMA,17.0,7.0,0.0,,0.0,0.0,0.0,0.0,374.0
SkyWest Airlines Inc.,OO,SLC,RNO,18.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Frontier Airlines Inc.,F9,PHL,MCO,26.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,LAS,IAH,58.0,3.0,0.0,,0.0,0.0,23.0,0.0,0.0
Delta Air Lines Inc.,DL,BOS,DTW,10.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,BHM,DCA,11.0,26.0,0.0,,0.0,0.0,0.0,0.0,0.0
Southwest Airlines Co.,WN,DAL,TPA,7.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
Spirit Air Lines,NK,FLL,ATL,19.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,HDN,DEN,14.0,8.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,SRQ,CLT,11.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0
Mesa Airlines Inc.,YV,DFW,MFE,23.0,4.0,0.0,,0.0,0.0,3.0,0.0,54.0
United Air Lines Inc.,UA,IAH,BOS,19.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0
United Air Lines Inc.,UA,SFO,LAS,16.0,12.0,0.0,,65.0,0.0,0.0,0.0,0.0
JetBlue Airways,B6,RSW,DCA,38.0,3.0,0.0,,0.0,0.0,57.0,0.0,0.0
Alaska Airlines Inc.,AS,SJC,AUS,12.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,SFO,LAX,13.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,SFO,MIA,29.0,7.0,0.0,,5.0,0.0,0.0,0.0,20.0
Alaska Airlines Inc.,AS,SFO,DCA,28.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0
Endeavor Air Inc.,9E,MSP,IAH,37.0,5.0,0.0,,0.0,0.0,25.0,0.0,0.0
Southwest Airlines Co.,WN,ONT,SMF,6.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,DEN,ICT,14.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
American Airlines Inc.,AA,DCA,CLT,21.0,10.0,0.0,,0.0,0.0,0.0,0.0,0.0
Envoy Air,MQ,DFW,SPS,15.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
PSA Airlines Inc.,OH,BHM,CLT,14.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0
SkyWest Airlines Inc.,OO,ORD,DTW,33.0,8.0,0.0,,0.0,0.0,9.0,0.0,73.0
Endeavor Air Inc.,9E,ATL,GNV,18.0,5.0,0.0,,0.0,0.0,0.0,0.0,0.0
ExpressJet Airlines LLC d/b/a aha!,EV,CRP,IAH,14.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0
Alaska Airlines Inc.,AS,SEA,EWR,26.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0
